CID,MolecularWeight,IsomericSMILES,IUPACName,name,Descriptors
750,75.07,C(C(=O)O)N,2-aminoacetic acid,glycine,odorless
753,92.09,C(C(CO)O)O,"propane-1,2,3-triol",glycerol,odorless
757,76.05,C(C(=O)O)O,2-hydroxyacetic acid,glycolic acid,odorless
791,131.17,CCC(C)C(C(=O)O)N,2-amino-3-methylpentanoic acid,dl-isoleucine,odorless
798,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole,musty;naphthyl;animal;floral;fecal;pungent
857,131.17,CC(C)CC(C(=O)O)N,2-amino-4-methylpentanoic acid,dl-leucine,odorless
866,146.19,C(CCN)CC(C(=O)O)N,"2,6-diaminohexanoic acid",dl-lysine,odorless
875,150.09,C(C(C(=O)O)O)(C(=O)O)O,"2,3-dihydroxybutanedioic acid",dl-tartaric acid,caramellic;mild
875,150.09,C(C(C(=O)O)O)(C(=O)O)O,"2,3-dihydroxybutanedioic acid",dl-tartaric acid,odorless
876,149.21,CSCCC(C(=O)O)N,2-amino-4-methylsulfanylbutanoic acid,dl-methionine,acidic;sulfurous;mild
878,48.11,CS,methanethiol,methanethiol,vegetable;sulfurous;eggy;garlic;savory;alliaceous;oily;cabbage;creamy
880,72.06,CC(=O)C=O,2-oxopropanal,methylglyoxal,sweet;rummy;caramellic;acidic;brown;ethereal
887,32.042,CO,methanol,methanol,alcoholic
931,128.17,C1=CC=C2C=CC=CC2=C1,naphthalene,naphthalene,dry;resinous;pungent
948,44.013,[N-]=[N+]=O,nitrous oxide,nitrous oxide,odorless
957,130.23,CCCCCCCCO,octan-1-ol,1-octanol,sweet;aldehydic;mushroom;fatty;rose;floral;coconut;orange;green;citrus;waxy
962,18.015,O,oxidane,water,odorless
964,104.06,C(C(=O)C(=O)O)O,3-hydroxy-2-oxopropanoic acid,3-hydroxypyruvic acid,cabbage;radish;sour
971,90.03,C(=O)(C(=O)O)O,oxalic acid,oxalic acid,bland
984,240.42,CCCCCCCCCCCCCCCC=O,hexadecanal,hexadecanal,cardboard
985,256.42,CCCCCCCCCCCCCCCC(=O)O,hexadecanoic acid,palmitic acid,creamy;fatty;waxy
994,165.19,C1=CC=C(C=C1)CC(C(=O)O)N,2-amino-3-phenylpropanoic acid,dl-phenylalanine,odorless
996,94.11,C1=CC=C(C=C1)O,phenol,phenol,plastic;phenolic;rubbery
997,164.16,C1=CC=C(C=C1)CC(=O)C(=O)O,2-oxo-3-phenylpropanoic acid,phenylpyruvic acid,sweet;honey;weedy;acidic;phenolic;green;almond
998,120.15,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,phenylacetaldehyde,sweet;fermented;floral;honey;rose;clover;cocoa;powdery;green;earthy;hyacinth;chocolate
999,136.15,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,phenylacetic acid,sweet;animal;sour;floral;honey;rose;civet;powdery;tobacco;honeysuckle;chocolate;waxy
1001,121.18,C1=CC=C(C=C1)CCN,2-phenylethanamine,phenethylamine,fishy;ammoniacal
1004,97.995,OP(=O)(O)O,phosphoric acid,phosphoric acid,bland
1030,76.09,CC(CO)O,"propane-1,2-diol",propylene glycol,odorless
1031,60.1,CCCO,propan-1-ol,1-propanol,sweet;fermented;musty;yeasty;fruity;tequila;apple;pear;fusel;alcoholic
1032,74.08,CCC(=O)O,propanoic acid,propionic acid,acidic;dairy;vinegar;pungent;cheesy
1045,88.15,C(CCN)CN,"butane-1,4-diamine",putrescine,fish;animal;rotting
1049,79.1,C1=CC=NC=C1,pyridine,pyridine,fishy;ammoniacal;sour
1060,88.06,CC(=O)C(=O)O,2-oxopropanoic acid,pyruvic acid,sour;caramellic;acetic;acidic;sharp
1068,62.14,CSC,methylsulfanylmethane,dimethyl sulfide,sweet;vegetable;sulfurous;berry;fruity;cabbage;onion;creamy;fishy;tomato;green;radish;seafood;corn
1088,89.09,CNCC(=O)O,2-(methylamino)acetic acid,sarcosine,bland
1110,118.09,C(CC(=O)O)C(=O)O,butanedioic acid,succinic acid,odorless
1123,125.15,C(CS(=O)(=O)O)N,2-aminoethanesulfonic acid,taurine,bland
1127,88.17,C1CCSC1,thiolane,tetrahydrothiophene,cabbage;sulfurous
1136,143.21,CC1=C(SC=N1)CCO,"2-(4-methyl-1,3-thiazol-5-yl)ethanol",4-methyl-5-thiazoleethanol,yeasty;meaty;sulfurous;fatty;nutty;oily;brothy;bready;beef juice;cooked
1140,92.14,CC1=CC=CC=C1,toluene,toluene,sweet
1145,75.11,C[N+](C)(C)[O-],"N,N-dimethylmethanamine oxide",trimethylamine n-oxide,odorless
1146,59.11,CN(C)C,"N,N-dimethylmethanamine",trimethylamine,rancid;sweaty;fruity;oily;fishy
1182,117.15,CC(C)C(C(=O)O)N,2-amino-3-methylbutanoic acid,dl-valine,odorless
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin,sweet;vanilla;creamy;chocolate
1213,182.3,CC1CCCC2(C1(CCCC2)O)C,"4,8a-dimethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-4a-ol","octahydro-4,8a-dimethyl-4a(2h)-naphthol",earthy;fresh;humus
1254,156.26,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol,menthol,mentholic;cooling;minty
1254,156.26,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol,menthol,mentholic
1254,156.26,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol,menthol,mentholic;peppermint;cooling;woody
1491,154.12,C1=CC(=C(C=C1O)O)C(=O)O,"2,4-dihydroxybenzoic acid","2,4-dihydroxybenzoic acid",phenolic;mild
2214,166.17,CC(=O)C1=CC(=C(C=C1)O)OC,1-(4-hydroxy-3-methoxyphenyl)ethanone,acetovanillone,sweet;vanilla
2345,212.24,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,benzyl benzoate,benzyl benzoate,sweet;faint;herbal;oily;balsam
2346,149.21,C1=CC=C(C=C1)CN=C=S,isothiocyanatomethylbenzene,benzyl isothiocyanate,medicinal;horseradish;watercress;dusty;oily
2519,194.19,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"1,3,7-trimethylpurine-2,6-dione",caffeine,odorless
2537,152.23,CC1(C2CCC1(C(=O)C2)C)C,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",camphor,camphoreous
2682,242.44,CCCCCCCCCCCCCCCCO,hexadecan-1-ol,1-hexadecanol,clean;greasy;floral;oily;waxy
2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol,camphoreous;herbal;eucalyptus;medicinal
2879,108.14,CC1=CC=C(C=C1)O,4-methylphenol,p-cresol,narcissus;animal;phenolic;mimosa
2969,172.26,CCCCCCCCCC(=O)O,decanoic acid,decanoic acid,rancid;citrus;fatty;sour
2998,293.4,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,N-[(4-hydroxy-3-methoxyphenyl)methyl]nonanamide,nonivamide,odorless
3026,278.34,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,"dibutyl benzene-1,2-dicarboxylate",dibutyl phthalate,faint
3102,182.22,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,diphenylmethanone,benzophenone,metallic;rose;herbal;powdery;balsamic;geranium
3283,74.12,CCOCC,ethoxyethane,diethyl ether,ethereal
3314,164.2,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol,sweet;spicy;bacon;cinnamon;savory;allspice;phenolic;ham;woody;clove
3327,222.37,CC(=CCCC(=CCCC(=CCO)C)C)C,"3,7,11-trimethyldodeca-2,6,10-trien-1-ol",farnesol,sweet;linden;floral;fresh;mild;angelica
3485,100.12,C(CC=O)CC=O,pentanedial,glutaraldehyde,fruity;pungent;medicinal
3611,164.2,CC(C)C1=CC(=O)C(=CC=C1)O,"2-hydroxy-6-propan-2-ylcyclohepta-2,4,6-trien-1-one",hinokitiol,woody;phenolic;mossy
3776,60.1,CC(C)O,propan-2-ol,isopropanol,musty;alcoholic;woody
3893,200.32,CCCCCCCCCCCC(=O)O,dodecanoic acid,lauric acid,bay;coconut;fatty
4133,152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate,sweet;root beer;camphoreous;phenolic;minty;wintergreen;aromatic
4276,192.21,COC1=CC(=CC2=C1OCO2)CC=C,"4-methoxy-6-prop-2-enyl-1,3-benzodioxole",myristicin,woody;spicy;balsamic;warm
4788,274.27,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",phloretin,odorless
4837,86.14,C1CNCCN1,piperazine,piperazine,ammoniacal
4873,74.55,[Cl-].[K+],potassium;chloride,potassium chloride,odorless
4943,178.27,CC(C)C1=C(C(=CC=C1)C(C)C)O,"2,6-di(propan-2-yl)phenol",propofol,phenolic;mild
4947,212.2,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,"propyl 3,4,5-trihydroxybenzoate",propyl gallate,bland
5054,110.11,C1=CC(=CC(=C1)O)O,"benzene-1,3-diol",resorcinol,musty;vanilla;nutty;phenolic;creamy;hawthorn
5143,183.19,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,"1,1-dioxo-1,2-benzothiazol-3-one",saccharin,odorless
5144,162.18,C=CCC1=CC2=C(C=C1)OCO2,"5-prop-2-enyl-1,3-benzodioxole",safrole,sweet;anise;spicy;warm;floral;sassafrass;woody
5281,284.5,CCCCCCCCCCCCCCCCCC(=O)O,octadecanoic acid,stearic acid,odorless
5541,218.2,CC(=O)OCC(COC(=O)C)OC(=O)C,"2,3-diacetyloxypropyl acetate",triacetin,clean;fruity;acidic;creamy;tropical
5590,250.38,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,"2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethanol",triton x-100,bland
5610,137.18,C1=CC(=CC=C1CCN)O,4-(2-aminoethyl)phenol,tyramine,dirty;meaty;rubbery;phenolic;cooked
5634,184.27,C=CCCCCCCCCC(=O)O,undec-10-enoic acid,undecylenic acid,sweet;woody
5780,182.17,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",d-sorbitol,odorless
5862,121.16,C([C@@H](C(=O)O)N)S,(2R)-2-amino-3-sulfanylpropanoic acid,l-cysteine,sulfury
5960,133.1,C([C@@H](C(=O)O)N)C(=O)O,(2S)-2-aminobutanedioic acid,l-aspartic acid,odorless
5961,146.14,C(CC(=O)N)[C@@H](C(=O)O)N,"(2S)-2,5-diamino-5-oxopentanoic acid",l-glutamine,cocoa;milky;custard;oily
5962,146.19,C(CCN)C[C@@H](C(=O)O)N,"(2S)-2,6-diaminohexanoic acid",l-lysine,odorless
5971,99.16,C=CCN=C=S,3-isothiocyanatoprop-1-ene,allyl isothiocyanate,mustard;pungent;sulfurous
5984,180.16,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,"(3S,4R,5R)-1,3,4,5,6-pentahydroxyhexan-2-one",d-(-)-fructose,odorless
5987,97.1,NS(=O)(=O)O,sulfamic acid,sulfamic acid,bland
5997,386.7,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",cholesterol,bland
6027,150.13,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",alpha-d-xylopyranose,sweet;woody;smoky;caramellic
6047,197.19,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid",levodopa,odorless
6050,302.36,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,"2,3-di(butanoyloxy)propyl butanoate",tributyrin,fatty;acidic;creamy;cheesy;waxy
6054,122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol,sweet;rose dried rose;floral;rose;honey;bready;fresh
6057,181.19,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,l-tyrosine,odorless
6106,131.17,CC(C)C[C@@H](C(=O)O)N,(2S)-2-amino-4-methylpentanoic acid,l-leucine,odorless
6109,374.27,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2],calcium;disodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)amino]acetate,edetate calcium disodium,odorless
6116,158.17,CC(=O)[O-].CC(=O)[O-].[Ca+2],calcium;diacetate,calcium acetate,acetic;mild
6140,165.19,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,(2S)-2-amino-3-phenylpropanoic acid,l-phenylalanine,odorless
6184,100.16,CCCCCC=O,hexanal,hexanal,vegetable;aldehydic;clean;fatty;leafy;sweaty;fruity;grassy;fresh;green;woody
6202,337.3,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-],"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol;chloride;hydrochloride",thiamine hydrochloride,bitter;mild;sour
6213,94.14,CS(=O)(=O)C,methylsulfonylmethane,dimethyl sulfone,burnt;sulfurous
6224,258.07,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],"trisodium;2-hydroxypropane-1,2,3-tricarboxylate",sodium citrate,odorless
6251,182.17,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",d-mannitol,odorless
6267,132.12,C([C@@H](C(=O)O)N)C(=O)N,"(2S)-2,4-diamino-4-oxobutanoic acid",l-asparagine,odorless
6274,155.15,C1=C(NC=N1)C[C@@H](C(=O)O)N,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,l-histidine,odorless
6276,88.15,CCCCCO,pentan-1-ol,1-pentanol,sweet;fermented;yeasty;solvent;winey;oily;fusel;bready;balsamic;pungent
6287,117.15,CC(C)[C@@H](C(=O)O)N,(2S)-2-amino-3-methylbutanoic acid,l-valine,odorless
6288,119.12,C[C@H]([C@@H](C(=O)O)N)O,"(2S,3R)-2-amino-3-hydroxybutanoic acid",l-threonine,savory;mild
6306,131.17,CC[C@H](C)[C@@H](C(=O)O)N,"(2S,3S)-2-amino-3-methylpentanoic acid",l-isoleucine,odorless
6322,174.2,C(C[C@@H](C(=O)O)N)CN=C(N)N,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,l-arginine,faint
6341,45.08,CCN,ethanamine,ethanamine,fishy;ammoniacal
6343,62.14,CCS,ethanethiol,ethanethiol,fruity;sulfurous
6363,59.11,CC(C)N,propan-2-amine,isopropylamine,fishy;ammoniacal
6364,76.16,CC(C)S,propane-2-thiol,2-propanethiol,meaty;sulfurous;chicken;ripe;alliaceous;gassy;brothy;onion;pungent;sharp
6378,58.08,CC1CO1,2-methyloxirane,propylene oxide,sweet;ethereal
6386,74.12,CC(C)(C)O,2-methylpropan-2-ol,tert-butanol,camphor
6387,90.19,CC(C)(C)S,2-methylpropane-2-thiol,2-methyl-2-propanethiol,sulfury
6405,88.15,CCC(C)(C)O,2-methylbutan-2-ol,2-methyl-2-butanol,pungent
6425,118.17,CC(C)(C(C)(C)O)O,"2,3-dimethylbutane-2,3-diol",pinacol,warm;bready;patchouli;woody;earthy
6448,196.29,CC(=O)OC1CC2CCC1(C2(C)C)C,"(1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl) acetate",bornyl acetate,cedar;spicy;mentholic;herbal;camphoreous;balsamic;woody;pine
6482,264.4,C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,"[(2R,5S)-2,6,6,8-tetramethyl-8-tricyclo[5.3.1.01,5]undecanyl] acetate",cedryl acetate,dry;woody;powdery;cedar
6493,102.17,CCC(C)(CC)O,3-methylpentan-3-ol,3-methyl-3-pentanol,leafy;fruity;green
6501,206.24,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,ethyl 3-methyl-3-phenyloxirane-2-carboxylate,77-83-8,sweet;fatty;floral;strawberry;honey;fruity
6504,318.32,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)OC(=O)C,"triethyl 2-acetyloxypropane-1,2,3-tricarboxylate",77-89-4,almost odorless
6505,402.5,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,"tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",77-90-7,sweet;herbal;winey
6506,276.28,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,"triethyl 2-hydroxypropane-1,2,3-tricarboxylate",triethyl citrate,odorless
6507,360.4,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,"tributyl 2-hydroxypropane-1,2,3-tricarboxylate",tributyl citrate,herbal;plastic
6532,224.34,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,"3,7-dimethylocta-1,6-dien-3-yl 2-methylpropanoate",linalyl isobutyrate,sweet;juicy;berry;fruity;lavender;bergamot;woody;citrus
6535,182.15,CCOP(=O)(OCC)OCC,triethyl phosphate,triethyl phosphate,mild;cider
6544,138.21,CC1=CC(=O)CC(C1)(C)C,"3,5,5-trimethylcyclohex-2-en-1-one",isophorone,sweet;musty;fruity;cooling;camphoreous;tobacco;cedarwood;green;woody;leathery
6548,158.28,CCC(C)(CCCC(C)C)O,"3,7-dimethyloctan-3-ol","3,7-dimethyloctan-3-ol",sweet;lime;floral;fresh;lily;citrus
6549,154.25,CC(=CCCC(C)(C=C)O)C,"3,7-dimethylocta-1,6-dien-3-ol",linalool,sweet;blueberry;floral;rose;bois;green;woody;de;citrus
6556,72.15,CCC(C)C,2-methylbutane,2-methylbutane,gasoline
6558,73.14,CC(C)CN,2-methylpropan-1-amine,isobutylamine,fishy;cheesy
6560,74.12,CC(C)CO,2-methylpropan-1-ol,2-methyl-1-propanol,winey;ethereal
6561,72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde,floral;aldehydic;fresh;pungent
6562,70.09,CC(=C)C=O,2-methylprop-2-enal,methacrolein,floral;hyacinth;foliage;green
6568,74.12,CCC(C)O,butan-2-ol,2-butanol,sweet;fruity;apricot
6569,72.11,CCC(=O)C,butan-2-one,2-butanone,camphoreous;acetone;fruity;ethereal
6570,70.09,CC(=O)C=C,but-3-en-2-one,methyl vinyl ketone,sweet
6584,74.08,CC(=O)OC,methyl acetate,methyl acetate,sweet;solvent;estery;rummy;cognac;fruity;winey;ethereal
6590,88.11,CC(C)C(=O)O,2-methylpropanoic acid,isobutyric acid,rancid;sour;acidic;dairy;cheesy;buttery
6606,426.7,CC(CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,"(3S,5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-(6-methylhept-5-en-2-yl)-2,3,5,6,7,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol","(3S,5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-(6-methylhept-5-en-2-yl)-2,3,5,6,7,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",bland
6616,136.23,CC1(C2CCC(C2)C1=C)C,"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",camphene,spicy;herbal;terpenic;camphoreous;cooling;fir needle;green;woody;minty;pine;citrus
6623,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[2-(4-hydroxyphenyl)propan-2-yl]phenol,bisphenol a,phenolic;mild
6631,198.3,CC1CCC(CC1)C(C)(C)OC(=O)C,2-(4-methylcyclohexyl)propan-2-yl acetate,dihydroterpinyl acetate,cologne;lime;herbal;woody;pine;citrus
6631,198.3,CC1CCC(CC1)C(C)(C)OC(=O)C,2-(4-methylcyclohexyl)propan-2-yl acetate,dihydroterpinyl acetate,cologne;lime;herbal;fresh;woody;soapy
6632,196.29,CC1CCC(C=C1)(C(C)C)OC(=O)C,(4-methyl-1-propan-2-ylcyclohex-2-en-1-yl) acetate,schembl754806,sweet;floral;herbal;lavender;bergamot;pine
